year,value
1990,220.34662
1991,221.53253
1992,221.71419
1993,222.95113
1994,222.43266
1995,223.3255
1996,223.52615
1997,222.94145
1998,223.1423
1999,223.7886
2000,222.90475
2001,221.60664
2002,220.3698
2003,219.17168
2004,216.59348
2005,216.35468
2006,215.54796
2007,215.92375
2008,215.56607
2009,213.2
2010,211.87302
2011,209.28404
2012,207.55185
2013,205.37929
2014,203.81734
2015,204.24733
2016,204.51634
2017,204.41048
2018,202.20898
2019,199.4033
2020,198.7956
2021,204.1675
2022,208.41092
2023,207.96097
