year,value
1990,0.70912737
1991,0.71942055
1992,0.7278714
1993,0.7391476
1994,0.747929
1995,0.76252705
1996,0.77685285
1997,0.7865654
1998,0.798825
1999,0.8125981
2000,0.8215083
2001,0.82918954
2002,0.8377185
2003,0.8485963
2004,0.8559816
2005,0.8728433
2006,0.8869889
2007,0.9049304
2008,0.9212567
2009,0.928386
2010,0.94038147
2011,0.9465927
2012,0.95627105
2013,0.96495754
2014,0.973559
2015,0.9892676
2016,1.002459
2017,1.0173484
2018,1.0263585
2019,1.0361431
2020,1.0437258
2021,1.0664397
2022,1.1233793
2023,1.1365135
