year,value
1990,2.9705164
1991,2.971484
1992,2.965148
1993,2.9424222
1994,2.972314
1995,2.958011
1996,2.9755936
1997,2.9843116
1998,2.99639
1999,3.0151706
2000,3.020761
2001,3.0257285
2002,3.0488002
2003,3.0550563
2004,3.0716076
2005,3.0786643
2006,3.0894394
2007,3.1129768
2008,3.1095574
2009,3.132289
2010,3.137929
2011,3.1485944
2012,3.154055
2013,3.1562643
2014,3.1717858
2015,3.1803074
2016,3.2018826
2017,3.2125835
2018,3.2212284
2019,3.233848
2020,3.771683
2021,3.798458
2022,3.7612102
2023,3.8097706
