year,value
1990,11.229435
1991,11.255062
1992,11.276694
1993,11.284565
1994,11.341224
1995,11.359546
1996,11.405467
1997,11.442438
1998,11.482189
1999,11.527697
2000,11.559193
2001,11.581483
2002,11.614444
2003,11.625612
2004,11.642184
2005,11.652838
2006,11.669059
2007,11.698182
2008,11.70017
2009,11.726734
2010,11.735149
2011,11.763074
2012,11.795559
2013,11.830543
2014,11.890443
2015,11.952079
2016,12.021377
2017,12.085154
2018,12.149519
2019,12.226299
2020,13.49288
2021,13.626907
2022,13.793532
2023,14.52596
