SPECIES_CODE,SPECIES,COMMON_NAME,YEAR,N_SITES,COLLATED_INDEX,YEAR_RANK,TIME_PERIOD,COUNTRY
84,"Aglais io","Peacock",1976,31,1.77,45,"1976-2024","England"
84,"Aglais io","Peacock",1977,47,1.65,49,"1976-2024","England"
84,"Aglais io","Peacock",1978,50,1.97,26,"1976-2024","England"
84,"Aglais io","Peacock",1979,59,2.03,22,"1976-2024","England"
84,"Aglais io","Peacock",1980,68,1.88,39,"1976-2024","England"
84,"Aglais io","Peacock",1981,70,1.79,44,"1976-2024","England"
84,"Aglais io","Peacock",1982,76,2.22,4,"1976-2024","England"
84,"Aglais io","Peacock",1983,86,1.98,25,"1976-2024","England"
84,"Aglais io","Peacock",1984,97,2.13,11,"1976-2024","England"
84,"Aglais io","Peacock",1985,106,2.14,10,"1976-2024","England"
84,"Aglais io","Peacock",1986,115,1.86,40,"1976-2024","England"
84,"Aglais io","Peacock",1987,136,1.93,33,"1976-2024","England"
84,"Aglais io","Peacock",1988,158,1.96,29,"1976-2024","England"
84,"Aglais io","Peacock",1989,189,1.96,29,"1976-2024","England"
84,"Aglais io","Peacock",1990,217,1.97,26,"1976-2024","England"
84,"Aglais io","Peacock",1991,243,2.08,16,"1976-2024","England"
84,"Aglais io","Peacock",1992,265,2.36,1,"1976-2024","England"
84,"Aglais io","Peacock",1993,294,2.1,14,"1976-2024","England"
84,"Aglais io","Peacock",1994,317,1.94,32,"1976-2024","England"
84,"Aglais io","Peacock",1995,377,2.02,24,"1976-2024","England"
84,"Aglais io","Peacock",1996,411,2.29,2,"1976-2024","England"
84,"Aglais io","Peacock",1997,444,2.23,3,"1976-2024","England"
84,"Aglais io","Peacock",1998,453,2.1,14,"1976-2024","England"
84,"Aglais io","Peacock",1999,475,2.06,17,"1976-2024","England"
84,"Aglais io","Peacock",2000,522,2.15,9,"1976-2024","England"
84,"Aglais io","Peacock",2001,478,2.18,8,"1976-2024","England"
84,"Aglais io","Peacock",2002,573,2.05,19,"1976-2024","England"
84,"Aglais io","Peacock",2003,629,1.96,29,"1976-2024","England"
84,"Aglais io","Peacock",2004,619,1.9,36,"1976-2024","England"
84,"Aglais io","Peacock",2005,637,1.93,33,"1976-2024","England"
84,"Aglais io","Peacock",2006,697,1.9,36,"1976-2024","England"
84,"Aglais io","Peacock",2007,903,2.06,17,"1976-2024","England"
84,"Aglais io","Peacock",2008,887,1.92,35,"1976-2024","England"
84,"Aglais io","Peacock",2009,1382,2.11,12,"1976-2024","England"
84,"Aglais io","Peacock",2010,1356,1.97,26,"1976-2024","England"
84,"Aglais io","Peacock",2011,1367,1.77,45,"1976-2024","England"
84,"Aglais io","Peacock",2012,1442,1.73,47,"1976-2024","England"
84,"Aglais io","Peacock",2013,1585,2.21,5,"1976-2024","England"
