version,id,exists,line,doi,pmcid,link_status,title,aliases,usage_routes,evidence_relations,claim_ids
published,splawski2004,True,427,10.1016/j.cell.2004.09.011,,pending,CACNA1C channelopathy study,timothy_syndrome_cacna1c_autism,/data;/evidence;/evidence/timothy-experiment;/explore;/modulome/heart,,
published,splawski2005_cardiac_ltype,True,29314,10.1073/pnas.0502506102,PMC1149428,verified,Severe arrhythmia disorder caused by cardiac L-type calcium channel mutations,,/evidence/timothy-experiment,,
published,bader2011_timothy_mouse,True,2374,10.1073/pnas.1112667108,PMC3174658,verified,Mouse model of Timothy syndrome recapitulates triad of autistic traits,,/evidence/timothy-experiment,,
published,bhat2012_cacna1c_psychiatric,True,25340,10.1016/j.pneurobio.2012.06.001,PMC3459072,verified,CACNA1C (Cav1.2) in the pathophysiology of psychiatric disease,,/evidence/timothy-experiment,,
published,pmc6894750_timothy,True,12672,10.1371/journal.pgen.1008488,PMC6894750,verified,An autism-causing calcium channel variant functions with selective autophagy to alter axon targeting and behavior,plos_genetics_2019_axon_targeting,/data;/evidence;/evidence/cascades;/explore;/map;/modulome/brain,,
published,timothy-syndrome-cacna1c-autism,True,28659,,,missing,Timothy syndrome G406R CACNA1C mutation causes autism via disrupted axon targeting,,/measurement/fieldstate/math;/model,,
published,timothy-cardiac-2023,True,27449,10.1016/j.hrcr.2023.05.012,,verified,Hypertrophic cardiomyopathy and long QT syndrome in cardiac-only Timothy syndrome,,,,
published,pgc-cacna1c-five-disorders,True,8629,,,missing,CACNA1C variants associated with five major psychiatric disorders,pgc_five_disorders_cacna1c,/data;/evidence;/evidence/timothy-experiment;/explore;/measurement/fieldstate/math;/model;/modulome/brain,,
published,cacna1c_autism,True,19304,10.1371/journal.pone.0133247,,pending,CACNA1D de novo mutations in autism spectrum disorders,,,,
published,cacna1d_family2022,True,28047,,PMC9693521,pending,WES identifies heterozygous CACNA1D variant associated with familial sinus node dysfunction and focal epilepsy,,,,
published,aging-cell-2024-cav13-hearing,True,12233,10.1111/acel.14305,,verified,Upregulation of the Cav1.3 channel in inner hair cells by interleukin 6-dependent inflammaging contributes to age-related hearing loss,,/measurement/fieldstate/math;/model;/modulome/ear,,
published,nejm-fhm-cacna1a,True,10348,,,missing,The clinical spectrum of FHM associated with mutations in a neuronal Ca channel,,/measurement/fieldstate/math;/model,,
published,fhm1_cacna1a,True,17857,10.3390/ijms22052688,,pending,"FHM1 CACNA1A mutations: P/Q-type Ca²⁺ channels, glia interactions, and CSD",,,,
