iso3,country,tfr_observed_2022,total_electricity_kwh_capita,broadband_per_100,emf_index,tfr_predicted,residual
MAC,"Macao SAR, China",0.68,7609.7,29.61,0.7891,1.55,-0.87
UKR,Ukraine,0.897,2719.0,17.54,0.3412,1.55,-0.653
SGP,Singapore,1.04,10106.4,27.55,0.8345,1.55,-0.51
ESP,Spain,1.16,5589.8,35.78,0.6991,1.55,-0.39
JPN,Japan,1.26,8324.7,36.84,0.9012,1.55,-0.29
GRC,Greece,1.32,5293.6,42.92,0.739,1.55,-0.23
MUS,Mauritius,1.33,2444.9,26.2,0.3955,1.55,-0.22
JAM,Jamaica,1.372,1581.5,14.96,0.239,1.55,-0.178
CYP,Cyprus,1.393,3950.8,36.77,0.5918,1.55,-0.157
EST,Estonia,1.41,7369.9,39.72,0.8583,1.55,-0.14
URY,Uruguay,1.425,3981.2,33.49,0.566,1.55,-0.125
BTN,Bhutan,1.478,14854.3,0.63,0.6054,1.55,-0.072
ARG,Argentina,1.482,3490.4,24.68,0.4564,1.55,-0.068
KNA,St. Kitts and Nevis,1.512,4707.7,46.74,0.7301,1.55,-0.038
BEL,Belgium,1.53,7455.9,43.57,0.8971,1.55,-0.02
TTO,Trinidad and Tobago,1.544,6350.6,26.03,0.6698,1.55,-0.006
MYS,Malaysia,1.55,5252.8,12.18,0.4744,1.55,-0.0
ATG,Antigua and Barbuda,1.58,3877.2,10.68,0.3646,1.55,0.03
SRB,Serbia,1.59,5535.1,29.35,0.6405,1.55,0.04
TUR,Turkiye,1.63,3713.5,21.82,0.4479,1.55,0.08
USA,United States,1.657,12672.5,37.49,0.9191,1.55,0.107
MDA,Moldova,1.694,2029.6,26.32,0.3672,1.55,0.144
BRB,Barbados,1.712,3860.8,37.48,0.5915,1.55,0.162
FRA,France,1.78,7293.4,48.25,0.9148,1.55,0.23
MNE,Montenegro,1.8,5173.7,31.89,0.6366,1.55,0.25
TUN,Tunisia,1.847,1978.7,13.93,0.2582,1.55,0.297
VNM,Viet Nam,1.927,2682.9,21.37,0.3712,1.55,0.377
LKA,Sri Lanka,1.984,733.5,9.64,0.1338,1.553,0.431
NPL,Nepal,2.002,376.6,8.52,0.0991,1.57,0.432
VEN,"Venezuela, RB",2.088,2919.2,9.58,0.2876,1.55,0.538
IDN,Indonesia,2.149,1199.1,4.82,0.1257,1.555,0.594
NIC,Nicaragua,2.24,799.3,5.01,0.099,1.57,0.67
DOM,Dominican Republic,2.267,1974.0,10.67,0.2302,1.55,0.717
LBY,Libya,2.402,4960.0,4.52,0.3886,1.55,0.852
LAO,Lao PDR,2.455,1580.9,2.38,0.1319,1.553,0.902
KHM,Cambodia,2.616,866.2,2.96,0.0864,1.589,1.027
MNG,Mongolia,2.7,2903.1,12.9,0.3147,1.55,1.15
SYR,Syrian Arab Republic,2.746,877.9,7.16,0.1229,1.555,1.191
SWZ,Eswatini,2.801,1206.0,2.19,0.1037,1.565,1.236
ISR,Israel,2.89,7684.2,29.17,0.7906,1.55,1.34
PNG,Papua New Guinea,3.165,449.9,0.21,0.0336,2.22,0.945
KEN,Kenya,3.262,244.4,1.48,0.0298,2.371,0.891
UZB,Uzbekistan,3.396,2215.3,25.8,0.3759,1.55,1.846
VUT,Vanuatu,3.647,255.5,1.13,0.0276,2.475,1.172
MWI,Malawi,3.72,88.0,0.07,0.0068,4.393,-0.673
SEN,Senegal,3.864,433.4,1.4,0.0425,1.963,1.901
COM,Comoros,3.935,167.8,0.22,0.0137,3.51,0.425
GMB,"Gambia, The",4.078,193.4,0.22,0.0155,3.33,0.748
COG,"Congo, Rep.",4.215,820.2,0.44,0.0616,1.698,2.517
GIN,Guinea,4.303,284.6,0.01,0.0201,2.935,1.368
CMR,Cameroon,4.397,294.9,2.13,0.0389,2.052,2.345
TZA,Tanzania,4.671,151.0,0.11,0.0116,3.747,0.924
AFG,Afghanistan,4.932,168.6,0.08,0.0126,3.634,1.298
CAF,Central African Republic,6.023,27.5,0.02,0.0021,5.224,0.799
