id,source,study_family,component,endpoint,value,unit,lower,upper,interval_type,source_url,evidence_level,cohort,testosterone_gel_g_day,reported_spread,spread_type,source_locator,time_window,behavior_score_numeric_available,months,warning,domain_maximum,hcg_IU_every_other_day,sperm_threshold_million_ml,events,denominator,group,relative_ovulation_day,sample_time
v14_001,Finkelstein2013,Finkelstein_NCT00114114,hormones_to_behavior,achieved_total_T,44.0,ng/dL,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4142768/,L3/L4 imported,1.0,0.0,13.0,Plus/minus from results text; not used as a CI or SE,Results hormone levels; Fig2,weeks4-16 averaged,False,,,,,,,,,,
v14_002,Finkelstein2013,Finkelstein_NCT00114114,hormones_to_behavior,achieved_estradiol,3.6,pg/mL,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4142768/,L3/L4 imported,1.0,0.0,1.4,Plus/minus from results text; not used as a CI or SE,Results hormone levels; Fig2,weeks4-16 averaged,False,,,,,,,,,,
v14_003,Finkelstein2013,Finkelstein_NCT00114114,hormones_to_behavior,achieved_total_T,191.0,ng/dL,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4142768/,L3/L4 imported,1.0,1.25,78.0,Plus/minus from results text; not used as a CI or SE,Results hormone levels; Fig2,weeks4-16 averaged,False,,,,,,,,,,
v14_004,Finkelstein2013,Finkelstein_NCT00114114,hormones_to_behavior,achieved_estradiol,7.9,pg/mL,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4142768/,L3/L4 imported,1.0,1.25,2.9,Plus/minus from results text; not used as a CI or SE,Results hormone levels; Fig2,weeks4-16 averaged,False,,,,,,,,,,
v14_005,Finkelstein2013,Finkelstein_NCT00114114,hormones_to_behavior,achieved_total_T,337.0,ng/dL,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4142768/,L3/L4 imported,1.0,2.5,173.0,Plus/minus from results text; not used as a CI or SE,Results hormone levels; Fig2,weeks4-16 averaged,False,,,,,,,,,,
v14_006,Finkelstein2013,Finkelstein_NCT00114114,hormones_to_behavior,achieved_estradiol,11.9,pg/mL,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4142768/,L3/L4 imported,1.0,2.5,5.7,Plus/minus from results text; not used as a CI or SE,Results hormone levels; Fig2,weeks4-16 averaged,False,,,,,,,,,,
v14_007,Finkelstein2013,Finkelstein_NCT00114114,hormones_to_behavior,achieved_total_T,470.0,ng/dL,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4142768/,L3/L4 imported,1.0,5.0,201.0,Plus/minus from results text; not used as a CI or SE,Results hormone levels; Fig2,weeks4-16 averaged,False,,,,,,,,,,
v14_008,Finkelstein2013,Finkelstein_NCT00114114,hormones_to_behavior,achieved_estradiol,18.2,pg/mL,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4142768/,L3/L4 imported,1.0,5.0,10.2,Plus/minus from results text; not used as a CI or SE,Results hormone levels; Fig2,weeks4-16 averaged,False,,,,,,,,,,
v14_009,Finkelstein2013,Finkelstein_NCT00114114,hormones_to_behavior,achieved_total_T,805.0,ng/dL,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4142768/,L3/L4 imported,1.0,10.0,355.0,Plus/minus from results text; not used as a CI or SE,Results hormone levels; Fig2,weeks4-16 averaged,False,,,,,,,,,,
v14_010,Finkelstein2013,Finkelstein_NCT00114114,hormones_to_behavior,achieved_estradiol,33.3,pg/mL,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4142768/,L3/L4 imported,1.0,10.0,15.3,Plus/minus from results text; not used as a CI or SE,Results hormone levels; Fig2,weeks4-16 averaged,False,,,,,,,,,,
v14_011,Finkelstein2013,Finkelstein_NCT00114114,hormones_to_behavior,achieved_total_T,41.0,ng/dL,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4142768/,L3/L4 imported,2.0,0.0,13.0,Plus/minus from results text; not used as a CI or SE,Results hormone levels; Fig2,weeks4-16 averaged,False,,,,,,,,,,
v14_012,Finkelstein2013,Finkelstein_NCT00114114,hormones_to_behavior,achieved_estradiol,1.0,pg/mL,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4142768/,L3/L4 imported,2.0,0.0,0.4,Plus/minus from results text; not used as a CI or SE,Results hormone levels; Fig2,weeks4-16 averaged,False,,,,,,,,,,
v14_013,Finkelstein2013,Finkelstein_NCT00114114,hormones_to_behavior,achieved_total_T,231.0,ng/dL,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4142768/,L3/L4 imported,2.0,1.25,171.0,Plus/minus from results text; not used as a CI or SE,Results hormone levels; Fig2,weeks4-16 averaged,False,,,,,,,,,,
v14_014,Finkelstein2013,Finkelstein_NCT00114114,hormones_to_behavior,achieved_estradiol,1.2,pg/mL,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4142768/,L3/L4 imported,2.0,1.25,0.4,Plus/minus from results text; not used as a CI or SE,Results hormone levels; Fig2,weeks4-16 averaged,False,,,,,,,,,,
v14_015,Finkelstein2013,Finkelstein_NCT00114114,hormones_to_behavior,achieved_total_T,367.0,ng/dL,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4142768/,L3/L4 imported,2.0,2.5,248.0,Plus/minus from results text; not used as a CI or SE,Results hormone levels; Fig2,weeks4-16 averaged,False,,,,,,,,,,
v14_016,Finkelstein2013,Finkelstein_NCT00114114,hormones_to_behavior,achieved_estradiol,2.0,pg/mL,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4142768/,L3/L4 imported,2.0,2.5,2.3,Plus/minus from results text; not used as a CI or SE,Results hormone levels; Fig2,weeks4-16 averaged,False,,,,,,,,,,
v14_017,Finkelstein2013,Finkelstein_NCT00114114,hormones_to_behavior,achieved_total_T,485.0,ng/dL,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4142768/,L3/L4 imported,2.0,5.0,240.0,Plus/minus from results text; not used as a CI or SE,Results hormone levels; Fig2,weeks4-16 averaged,False,,,,,,,,,,
v14_018,Finkelstein2013,Finkelstein_NCT00114114,hormones_to_behavior,achieved_estradiol,2.1,pg/mL,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4142768/,L3/L4 imported,2.0,5.0,1.9,Plus/minus from results text; not used as a CI or SE,Results hormone levels; Fig2,weeks4-16 averaged,False,,,,,,,,,,
v14_019,Finkelstein2013,Finkelstein_NCT00114114,hormones_to_behavior,achieved_total_T,924.0,ng/dL,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4142768/,L3/L4 imported,2.0,10.0,521.0,Plus/minus from results text; not used as a CI or SE,Results hormone levels; Fig2,weeks4-16 averaged,False,,,,,,,,,,
v14_020,Finkelstein2013,Finkelstein_NCT00114114,hormones_to_behavior,achieved_estradiol,2.8,pg/mL,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4142768/,L3/L4 imported,2.0,10.0,1.8,Plus/minus from results text; not used as a CI or SE,Results hormone levels; Fig2,weeks4-16 averaged,False,,,,,,,,,,
